Soil Moisture,Temperature, Soil Humidity,N,P,K,Status,Fertilizer,Pest
41,41,63,61,67,63,ON,DAP,PinkBollworm-Larva
46,43,39,14,23,65,ON,28-28,Jassid
18,36,52,94,81,20,OFF,17-17-17,Aphid
16,3,53,58,86,8,ON,14-35-14,Aphid
22,8,20,92,63,43,ON,DAP,PinkBollworm-Larva
43,44,68,37,51,15,OFF,20-20,Jassid
45,13,59,3,78,30,ON,Urea,AmericanBollworm-Larva
13,30,42,31,98,21,ON,14-35-14,AmericanBollworm-Egg
67,32,65,40,95,75,OFF,10-26-26,AmericanBollworm-Larva
78,21,36,80,22,22,OFF,14-35-14,Jassid
81,44,66,8,72,97,OFF,14-35-14,AmericanBollworm-Egg
65,20,49,14,4,70,OFF,20-20,Mealybug
23,18,28,50,40,35,OFF,Urea,Jassid
45,21,35,15,77,69,ON,14-35-14,AmericanBollworm-Egg
69,14,34,61,86,97,OFF,14-35-14,Mealybug
2,45,57,12,59,25,ON,DAP,Jassid
31,37,66,76,30,72,ON,10-26-26,Mealybug
66,14,58,54,55,66,OFF,20-20,Spodoptera
68,42,67,37,60,58,ON,14-35-14,AmericanBollworm-Larva
30,23,68,23,75,47,ON,Urea,Mealybug
37,10,64,71,19,71,OFF,10-26-26,AmericanBollworm-Larva
69,3,23,8,11,27,OFF,17-17-17,AmericanBollworm-Egg
80,16,53,62,3,40,OFF,DAP,AmericanBollworm-Larva
55,43,52,66,78,31,ON,DAP,PinkBollworm-Larva
41,34,28,55,53,13,ON,17-17-17,Jassid
53,15,26,54,24,79,ON,20-20,Mealybug
33,33,69,23,2,12,ON,14-35-14,Aphid
2,36,60,4,96,86,ON,17-17-17,AmericanBollworm-Egg
64,12,27,52,15,79,OFF,14-35-14,AmericanBollworm-Larva
14,41,50,90,59,64,ON,14-35-14,Aphid
71,16,53,6,47,25,OFF,Urea,Mealybug
24,3,61,90,71,57,OFF,10-26-26,Aphid
72,39,40,25,41,31,ON,28-28,Aphid
20,23,38,44,10,1,ON,Urea,Mealybug
23,22,40,57,63,47,ON,20-20,Aphid
10,2,42,19,65,8,ON,Urea,Mealybug
42,5,64,97,21,39,ON,DAP,PinkBollworm-Larva
57,10,21,6,86,7,OFF,Urea,AmericanBollworm-Larva
24,16,31,33,5,6,OFF,20-20,AmericanBollworm-Larva
87,30,67,53,37,71,ON,28-28,AmericanBollworm-Larva
39,33,38,13,31,19,ON,14-35-14,AmericanBollworm-Egg
10,14,42,42,71,47,ON,20-20,Mealybug
29,14,33,12,78,89,OFF,14-35-14,PinkBollworm-Larva
28,36,23,0,44,94,ON,DAP,Aphid
22,22,44,35,82,40,ON,DAP,Jassid
28,35,39,1,32,78,ON,20-20,Mealybug
14,4,30,3,80,45,ON,DAP,Spodoptera
75,43,26,15,96,42,OFF,20-20,Aphid
63,8,69,74,73,40,OFF,17-17-17,Spodoptera
49,45,36,48,77,68,ON,20-20,AmericanBollworm-Egg
44,23,27,80,54,36,ON,10-26-26,Aphid
62,29,48,14,81,53,ON,DAP,AmericanBollworm-Larva
27,11,48,12,62,70,ON,20-20,Spodoptera
44,36,20,31,53,5,ON,Urea,PinkBollworm-Larva
90,27,64,34,57,53,OFF,14-35-14,AmericanBollworm-Egg
76,17,55,9,90,85,OFF,Urea,AmericanBollworm-Egg
24,25,21,76,43,22,ON,28-28,Spodoptera
15,41,32,64,56,40,ON,14-35-14,PinkBollworm-Larva
23,17,39,1,11,90,ON,DAP,Aphid
34,0,36,88,6,56,OFF,20-20,Jassid
78,20,38,66,51,61,ON,10-26-26,Jassid
6,25,55,37,46,17,OFF,28-28,PinkBollworm-Larva
77,20,60,20,66,29,OFF,28-28,Spodoptera
36,21,28,38,56,21,ON,28-28,PinkBollworm-Larva
57,17,24,33,64,55,OFF,28-28,Spodoptera
36,21,59,62,31,15,OFF,10-26-26,Spodoptera
36,45,58,25,18,35,ON,DAP,AmericanBollworm-Egg
18,0,64,75,21,28,ON,10-26-26,PinkBollworm-Larva
71,20,34,36,85,18,ON,14-35-14,Aphid
38,33,61,97,51,57,ON,14-35-14,Spodoptera
81,24,61,94,8,31,OFF,17-17-17,Jassid
34,17,48,81,27,98,OFF,Urea,Spodoptera
18,29,59,41,21,83,ON,17-17-17,AmericanBollworm-Egg
46,9,48,71,80,61,OFF,Urea,PinkBollworm-Larva
12,31,62,61,1,12,OFF,20-20,Mealybug
54,43,63,27,30,66,ON,17-17-17,Aphid
88,1,53,84,20,40,OFF,10-26-26,Spodoptera
48,31,33,97,18,13,ON,10-26-26,Aphid
21,45,62,66,26,18,ON,28-28,PinkBollworm-Larva
58,26,21,85,58,67,ON,17-17-17,Jassid
59,15,69,49,18,91,ON,10-26-26,Mealybug
22,12,22,46,97,46,ON,14-35-14,AmericanBollworm-Egg
15,6,41,17,12,78,OFF,10-26-26,Mealybug
35,20,49,86,45,22,ON,DAP,AmericanBollworm-Egg
63,6,59,54,24,45,OFF,10-26-26,Jassid
11,14,30,84,63,62,ON,17-17-17,Spodoptera
27,34,37,92,96,61,ON,DAP,Jassid
84,44,64,63,40,42,ON,10-26-26,AmericanBollworm-Larva
37,16,65,58,34,58,ON,Urea,Aphid
79,16,34,16,27,53,ON,DAP,Jassid
84,40,55,98,89,14,ON,DAP,PinkBollworm-Larva
76,12,38,2,27,44,OFF,Urea,Aphid
33,6,60,5,80,50,OFF,28-28,PinkBollworm-Larva
40,9,27,77,27,75,ON,28-28,PinkBollworm-Larva
85,5,43,3,41,79,OFF,Urea,PinkBollworm-Larva
60,16,38,17,14,73,ON,14-35-14,PinkBollworm-Larva
30,2,36,92,35,15,ON,10-26-26,PinkBollworm-Larva
21,11,39,78,83,16,ON,10-26-26,Jassid
22,1,47,62,98,25,OFF,20-20,Spodoptera
49,1,27,65,33,73,OFF,17-17-17,AmericanBollworm-Egg
88,23,66,62,51,54,OFF,10-26-26,Spodoptera
89,9,38,79,74,28,OFF,17-17-17,Aphid
32,43,32,61,91,81,ON,17-17-17,PinkBollworm-Larva
40,12,35,47,34,72,ON,14-35-14,Spodoptera
17,19,25,91,78,35,ON,10-26-26,Aphid
71,1,23,34,61,13,OFF,10-26-26,Aphid
5,8,21,11,82,94,ON,28-28,Mealybug
53,3,67,82,61,68,ON,DAP,Spodoptera
85,35,62,57,6,85,OFF,DAP,Spodoptera
13,37,34,87,97,64,OFF,17-17-17,Jassid
7,38,35,78,72,31,ON,Urea,Aphid
21,42,42,32,34,57,ON,17-17-17,PinkBollworm-Larva
5,4,59,70,45,84,ON,Urea,Spodoptera
85,41,47,33,49,94,OFF,Urea,Aphid
56,15,35,4,72,2,ON,14-35-14,Spodoptera
89,28,25,65,58,37,OFF,17-17-17,Spodoptera
22,39,67,64,14,3,ON,20-20,Mealybug
73,25,47,45,20,78,OFF,14-35-14,PinkBollworm-Larva
7,27,46,84,91,48,ON,DAP,Aphid
70,10,28,96,79,74,OFF,14-35-14,AmericanBollworm-Larva
27,20,44,32,82,5,ON,28-28,AmericanBollworm-Larva
61,28,63,26,95,67,OFF,DAP,PinkBollworm-Larva
8,12,45,12,27,66,ON,28-28,AmericanBollworm-Egg
48,17,59,61,51,46,OFF,Urea,Spodoptera
75,22,29,88,81,21,OFF,28-28,Aphid
38,9,35,75,91,23,ON,DAP,AmericanBollworm-Egg
13,18,44,32,21,60,OFF,10-26-26,PinkBollworm-Larva
26,40,57,96,94,92,OFF,28-28,Aphid
33,24,52,38,84,16,ON,14-35-14,AmericanBollworm-Larva
17,28,49,57,48,82,ON,10-26-26,AmericanBollworm-Egg
7,4,29,67,20,89,ON,17-17-17,Mealybug
57,19,48,45,72,98,ON,28-28,Jassid
46,45,41,49,13,2,ON,DAP,Jassid
40,30,64,49,51,16,ON,28-28,Aphid
67,37,31,81,91,85,OFF,Urea,Jassid
46,11,28,22,24,28,OFF,28-28,Mealybug
53,41,56,18,93,34,ON,DAP,AmericanBollworm-Egg
68,21,59,89,99,31,ON,Urea,Spodoptera
73,35,59,54,9,48,OFF,14-35-14,Jassid
11,38,53,11,95,54,OFF,10-26-26,Jassid
1,1,29,84,20,75,ON,10-26-26,AmericanBollworm-Egg
55,27,57,42,62,57,ON,DAP,Aphid
76,22,66,23,92,0,OFF,DAP,PinkBollworm-Larva
3,34,62,66,46,75,ON,20-20,Spodoptera
80,32,34,87,18,18,OFF,Urea,AmericanBollworm-Larva
82,0,23,63,44,73,OFF,Urea,Spodoptera
31,42,34,98,79,19,ON,10-26-26,AmericanBollworm-Egg
11,26,48,72,30,33,OFF,Urea,Jassid
11,36,60,25,29,79,ON,14-35-14,Spodoptera
41,23,44,82,32,11,ON,20-20,AmericanBollworm-Egg
89,6,69,25,93,81,OFF,DAP,PinkBollworm-Larva
33,42,41,96,60,72,ON,DAP,Aphid
47,24,20,13,82,73,ON,Urea,PinkBollworm-Larva
23,15,50,58,70,90,ON,Urea,AmericanBollworm-Egg
11,42,60,0,93,68,OFF,DAP,PinkBollworm-Larva
83,13,66,32,64,15,ON,28-28,Aphid
53,37,51,71,76,11,ON,Urea,Spodoptera
56,12,54,5,76,82,OFF,17-17-17,Jassid
53,16,31,78,1,5,ON,14-35-14,Mealybug
30,36,50,49,99,94,ON,DAP,Aphid
64,0,51,9,66,1,OFF,14-35-14,AmericanBollworm-Egg
34,19,55,2,44,41,OFF,DAP,Aphid
19,16,63,34,75,8,ON,DAP,AmericanBollworm-Egg
52,18,59,83,93,95,OFF,10-26-26,Mealybug
77,36,41,27,49,76,OFF,20-20,Mealybug
44,12,28,27,40,91,ON,17-17-17,Aphid
49,25,45,40,22,76,ON,17-17-17,PinkBollworm-Larva
86,26,64,61,7,12,OFF,14-35-14,PinkBollworm-Larva
11,30,33,65,52,73,ON,20-20,Spodoptera
5,20,44,9,23,11,ON,10-26-26,Mealybug
43,40,42,70,28,4,OFF,10-26-26,AmericanBollworm-Egg
33,23,64,50,87,89,ON,DAP,PinkBollworm-Larva
75,32,45,0,58,67,ON,DAP,AmericanBollworm-Larva
29,37,26,19,92,85,ON,DAP,Mealybug
14,13,24,84,65,43,ON,28-28,AmericanBollworm-Larva
37,6,46,67,5,15,OFF,10-26-26,Jassid
87,13,57,86,52,96,OFF,28-28,Aphid
78,27,27,69,39,98,ON,17-17-17,Spodoptera
63,24,37,90,28,85,ON,10-26-26,AmericanBollworm-Larva
23,12,65,91,0,96,ON,Urea,Aphid
7,12,68,23,90,43,ON,DAP,Spodoptera
60,7,59,71,16,78,OFF,17-17-17,Mealybug
87,24,31,45,1,30,OFF,DAP,AmericanBollworm-Egg
58,6,20,79,66,52,ON,20-20,Mealybug
26,33,35,56,43,33,ON,17-17-17,Spodoptera
57,31,65,80,90,9,OFF,20-20,Aphid
18,25,53,67,63,42,OFF,28-28,Aphid
49,45,21,89,95,15,ON,14-35-14,Jassid
40,25,67,94,33,84,ON,28-28,Mealybug
90,1,52,96,51,94,OFF,10-26-26,AmericanBollworm-Egg
84,6,34,38,22,72,ON,20-20,Spodoptera
27,42,43,55,58,8,ON,DAP,Mealybug
41,0,26,0,97,19,OFF,17-17-17,AmericanBollworm-Larva
61,17,51,34,95,94,OFF,28-28,Mealybug
78,11,56,95,39,92,OFF,14-35-14,AmericanBollworm-Egg
2,21,60,20,51,42,ON,Urea,Jassid
17,41,38,28,83,11,OFF,17-17-17,Jassid
67,16,47,68,86,32,OFF,20-20,AmericanBollworm-Egg
6,37,30,99,14,16,ON,17-17-17,Spodoptera
67,9,33,15,49,50,ON,Urea,Mealybug
55,35,68,67,99,57,ON,20-20,PinkBollworm-Larva
84,44,44,75,8,56,ON,14-35-14,AmericanBollworm-Egg
57,13,39,66,98,23,OFF,28-28,PinkBollworm-Larva
7,24,42,32,24,95,ON,17-17-17,AmericanBollworm-Egg
19,43,56,94,54,64,ON,28-28,AmericanBollworm-Larva
25,28,44,24,48,14,ON,14-35-14,Mealybug
24,40,61,62,99,94,ON,20-20,AmericanBollworm-Egg
55,44,55,36,91,89,ON,28-28,Spodoptera
56,15,49,45,10,77,ON,28-28,Spodoptera
88,28,49,1,75,98,OFF,20-20,Spodoptera
36,17,70,36,34,48,OFF,10-26-26,AmericanBollworm-Egg
20,38,39,27,15,36,ON,10-26-26,PinkBollworm-Larva
31,1,20,62,97,75,OFF,DAP,AmericanBollworm-Larva
40,31,26,91,97,79,ON,DAP,Aphid
66,18,53,79,25,22,OFF,20-20,AmericanBollworm-Larva
1,14,41,46,25,36,ON,14-35-14,Spodoptera
71,9,47,45,45,66,OFF,17-17-17,Spodoptera
13,2,68,96,73,7,OFF,17-17-17,Mealybug
1,26,69,37,69,4,ON,14-35-14,AmericanBollworm-Egg
40,37,52,59,64,63,ON,Urea,Spodoptera
62,17,23,95,78,21,OFF,14-35-14,Jassid
67,2,47,32,38,94,OFF,20-20,PinkBollworm-Larva
51,26,62,55,84,50,ON,10-26-26,Aphid
90,22,62,2,82,22,OFF,10-26-26,Spodoptera
16,23,43,66,28,90,OFF,Urea,Spodoptera
27,12,65,63,53,13,ON,20-20,AmericanBollworm-Egg
39,31,42,14,78,11,ON,14-35-14,Spodoptera
41,15,42,85,84,33,ON,17-17-17,AmericanBollworm-Egg
41,3,66,9,81,25,ON,14-35-14,AmericanBollworm-Larva
37,44,42,51,78,13,ON,DAP,AmericanBollworm-Egg
32,9,30,18,88,71,OFF,Urea,AmericanBollworm-Egg
61,1,70,29,8,35,OFF,Urea,Mealybug
42,10,50,10,22,68,OFF,Urea,Mealybug
21,17,33,83,57,51,OFF,14-35-14,PinkBollworm-Larva
90,5,28,72,77,76,OFF,10-26-26,Spodoptera
82,1,50,75,3,17,OFF,14-35-14,Spodoptera
26,17,50,28,85,63,OFF,Urea,Mealybug
41,31,40,70,58,3,ON,20-20,Jassid
27,6,41,85,13,10,OFF,10-26-26,Jassid
57,37,58,85,51,96,ON,Urea,AmericanBollworm-Larva
71,24,25,16,34,8,OFF,28-28,Spodoptera
41,43,54,86,43,34,ON,Urea,AmericanBollworm-Egg
87,14,61,50,9,94,OFF,28-28,Aphid
59,27,58,10,48,9,ON,Urea,Jassid
57,45,33,68,70,61,ON,28-28,Mealybug
27,22,53,72,66,30,ON,10-26-26,Jassid
48,32,46,77,11,47,ON,28-28,Jassid
90,5,36,35,54,25,ON,20-20,Aphid
88,10,49,7,61,80,OFF,10-26-26,Aphid
40,29,48,61,32,90,OFF,17-17-17,AmericanBollworm-Larva
24,36,64,94,81,6,ON,20-20,AmericanBollworm-Egg
7,14,44,21,83,66,OFF,17-17-17,AmericanBollworm-Egg
51,18,66,6,6,33,OFF,10-26-26,Mealybug
76,28,22,37,79,92,ON,Urea,AmericanBollworm-Egg
82,40,40,4,76,50,ON,10-26-26,Aphid
14,45,57,6,48,53,OFF,10-26-26,Mealybug
9,13,45,2,15,27,ON,28-28,Aphid
31,17,52,63,2,37,OFF,10-26-26,PinkBollworm-Larva
21,11,58,78,2,48,OFF,10-26-26,AmericanBollworm-Larva
85,12,23,79,83,68,OFF,20-20,PinkBollworm-Larva
71,3,54,80,86,4,OFF,14-35-14,Mealybug
44,42,58,33,62,81,ON,10-26-26,AmericanBollworm-Larva
4,44,67,31,78,30,OFF,Urea,Mealybug
25,1,23,28,22,72,ON,DAP,Jassid
74,22,36,54,19,51,ON,14-35-14,Mealybug
45,7,60,9,26,73,OFF,10-26-26,Spodoptera
6,33,70,28,12,96,ON,14-35-14,Spodoptera
24,32,20,67,28,38,ON,14-35-14,Mealybug
60,29,35,80,11,32,ON,14-35-14,PinkBollworm-Larva
8,10,41,10,3,28,ON,28-28,AmericanBollworm-Larva
8,15,32,61,5,6,ON,10-26-26,Mealybug
13,43,40,69,57,55,ON,DAP,Mealybug
80,19,68,95,20,57,OFF,28-28,PinkBollworm-Larva
13,36,45,29,61,78,ON,17-17-17,Jassid
76,0,24,45,82,61,OFF,17-17-17,AmericanBollworm-Larva
88,2,22,70,58,27,OFF,14-35-14,AmericanBollworm-Larva
71,20,25,4,91,84,OFF,10-26-26,PinkBollworm-Larva
32,23,59,95,23,10,ON,20-20,Spodoptera
11,44,69,29,58,86,ON,20-20,AmericanBollworm-Egg
59,23,68,67,4,40,ON,28-28,AmericanBollworm-Egg
14,24,51,88,56,42,OFF,14-35-14,PinkBollworm-Larva
14,4,54,12,0,83,ON,28-28,Spodoptera
57,45,31,93,37,15,ON,Urea,Jassid
80,21,35,59,38,84,OFF,DAP,Jassid
12,6,60,76,2,52,ON,14-35-14,Aphid
88,6,55,85,26,8,OFF,20-20,PinkBollworm-Larva
70,29,57,13,78,34,ON,17-17-17,PinkBollworm-Larva
1,11,22,70,66,9,ON,17-17-17,AmericanBollworm-Egg
81,43,36,54,43,35,ON,28-28,Mealybug
63,28,32,84,98,21,ON,14-35-14,Aphid
23,30,47,57,51,29,ON,20-20,Aphid
5,32,40,46,16,37,ON,Urea,Spodoptera
15,23,67,42,30,10,ON,17-17-17,Spodoptera
49,17,23,10,35,76,ON,20-20,Jassid
81,41,61,68,88,15,ON,14-35-14,Aphid
24,22,41,65,19,44,ON,DAP,Mealybug
25,9,34,28,14,44,ON,17-17-17,Spodoptera
90,42,40,57,69,44,OFF,17-17-17,PinkBollworm-Larva
48,44,21,28,48,91,OFF,17-17-17,AmericanBollworm-Larva
30,26,58,46,21,84,ON,14-35-14,Aphid
24,44,37,59,96,23,ON,14-35-14,PinkBollworm-Larva
46,31,60,58,35,30,ON,14-35-14,AmericanBollworm-Egg
72,23,50,98,12,57,OFF,10-26-26,Mealybug
79,36,61,15,66,51,ON,17-17-17,AmericanBollworm-Egg
19,18,58,28,91,71,ON,14-35-14,Spodoptera
67,20,66,92,93,67,ON,DAP,Aphid
86,3,46,64,41,55,OFF,DAP,Mealybug
87,11,32,65,62,41,ON,14-35-14,Aphid
68,27,50,63,86,59,OFF,14-35-14,Jassid
33,1,37,94,56,18,OFF,10-26-26,PinkBollworm-Larva
55,27,40,84,30,20,ON,28-28,Mealybug
83,32,35,1,14,98,OFF,28-28,Aphid
22,26,44,52,37,61,ON,Urea,AmericanBollworm-Egg
83,36,59,57,40,37,ON,10-26-26,Aphid
59,14,20,75,20,23,OFF,10-26-26,Mealybug
48,26,60,23,10,70,ON,DAP,AmericanBollworm-Larva
39,28,55,9,8,64,ON,28-28,AmericanBollworm-Larva
17,32,56,66,4,57,ON,17-17-17,Aphid
84,14,69,78,99,81,ON,28-28,AmericanBollworm-Egg
1,33,31,79,57,94,ON,Urea,AmericanBollworm-Egg
80,1,31,92,56,85,OFF,20-20,Spodoptera
65,26,35,74,20,4,OFF,Urea,Jassid
29,18,36,43,51,5,ON,28-28,Mealybug
2,38,55,44,81,91,ON,DAP,PinkBollworm-Larva
86,36,49,83,71,32,ON,10-26-26,Jassid
75,15,42,23,17,27,ON,17-17-17,PinkBollworm-Larva
22,20,42,48,15,34,OFF,20-20,PinkBollworm-Larva
69,17,50,68,13,34,OFF,14-35-14,Mealybug
44,43,23,28,36,58,ON,10-26-26,AmericanBollworm-Egg
3,17,55,64,48,72,OFF,20-20,Aphid
78,12,42,61,53,64,ON,DAP,Spodoptera
84,25,27,86,30,56,OFF,10-26-26,Mealybug
80,18,21,29,80,9,OFF,20-20,Spodoptera
43,13,24,45,1,64,ON,DAP,Jassid
48,21,30,74,67,11,ON,10-26-26,AmericanBollworm-Larva
27,37,70,83,56,23,OFF,10-26-26,Aphid
34,25,52,40,77,74,ON,10-26-26,AmericanBollworm-Larva
9,28,51,89,22,82,ON,Urea,Mealybug
54,27,63,13,78,43,OFF,10-26-26,Jassid
54,24,20,94,12,11,ON,DAP,Jassid
23,11,20,46,86,40,OFF,17-17-17,AmericanBollworm-Larva
20,31,30,20,32,38,ON,17-17-17,Jassid
81,43,69,16,14,12,OFF,DAP,PinkBollworm-Larva
65,19,27,90,40,79,OFF,14-35-14,AmericanBollworm-Larva
83,45,37,17,13,4,OFF,Urea,Mealybug
16,1,32,62,34,64,OFF,DAP,PinkBollworm-Larva
31,29,20,42,29,61,ON,28-28,Spodoptera
17,28,36,40,58,97,ON,17-17-17,AmericanBollworm-Larva
28,8,64,97,81,99,OFF,20-20,AmericanBollworm-Larva
22,40,33,54,89,63,ON,DAP,Jassid
29,41,67,35,63,59,ON,14-35-14,AmericanBollworm-Egg
13,19,41,0,17,97,OFF,10-26-26,Spodoptera
56,1,59,47,85,98,OFF,20-20,Spodoptera
14,28,36,12,88,73,ON,DAP,Spodoptera
81,28,24,35,16,86,OFF,Urea,Spodoptera
18,42,45,37,91,57,ON,17-17-17,Mealybug
60,12,35,22,77,81,OFF,10-26-26,AmericanBollworm-Egg
54,40,42,57,2,10,ON,20-20,PinkBollworm-Larva
72,42,70,63,83,29,OFF,10-26-26,Aphid
10,29,28,98,47,79,ON,17-17-17,AmericanBollworm-Egg
61,38,62,2,79,70,ON,28-28,PinkBollworm-Larva
57,30,29,20,20,72,ON,28-28,Mealybug
58,33,63,71,44,34,OFF,10-26-26,AmericanBollworm-Larva
36,29,37,50,5,1,ON,17-17-17,PinkBollworm-Larva
36,11,31,47,67,1,OFF,10-26-26,Spodoptera
44,35,65,81,93,52,ON,20-20,Spodoptera
58,43,52,92,55,80,ON,20-20,Jassid
25,22,60,84,14,74,OFF,14-35-14,AmericanBollworm-Egg
30,42,51,4,97,11,ON,Urea,AmericanBollworm-Larva
46,30,64,78,51,2,ON,14-35-14,PinkBollworm-Larva
57,36,34,19,9,6,OFF,14-35-14,AmericanBollworm-Egg
11,0,45,63,46,98,ON,17-17-17,Jassid
52,1,61,56,49,82,OFF,DAP,Jassid
38,17,62,9,0,98,OFF,28-28,Jassid
17,41,46,32,19,0,ON,14-35-14,AmericanBollworm-Egg
22,1,50,8,24,50,OFF,DAP,Aphid
31,8,42,6,52,4,OFF,28-28,AmericanBollworm-Larva
8,4,30,71,49,38,OFF,28-28,AmericanBollworm-Egg
48,26,31,5,28,41,OFF,17-17-17,PinkBollworm-Larva
84,38,41,31,72,74,ON,20-20,Aphid
55,8,27,8,45,38,OFF,20-20,PinkBollworm-Larva
69,40,44,1,46,69,ON,14-35-14,Jassid
49,41,36,33,50,24,ON,14-35-14,Spodoptera
52,35,37,85,33,49,ON,14-35-14,AmericanBollworm-Egg
42,24,42,21,85,93,ON,10-26-26,Aphid
1,45,47,1,40,41,OFF,DAP,Mealybug
38,25,60,95,95,89,OFF,28-28,Aphid
30,22,46,76,24,75,ON,10-26-26,Spodoptera
1,1,38,94,65,12,OFF,20-20,Aphid
68,45,66,91,58,56,OFF,28-28,Mealybug
39,34,29,40,80,68,ON,Urea,AmericanBollworm-Egg
81,22,34,14,93,19,ON,14-35-14,Mealybug
2,39,20,59,21,5,ON,Urea,AmericanBollworm-Egg
42,9,21,10,29,16,ON,DAP,AmericanBollworm-Egg
26,24,31,41,35,54,OFF,20-20,Jassid
41,12,57,98,79,59,ON,17-17-17,AmericanBollworm-Larva
11,25,67,57,75,65,ON,20-20,Mealybug
89,10,52,49,24,79,OFF,17-17-17,Spodoptera
61,5,22,83,73,89,OFF,14-35-14,Mealybug
16,43,40,1,10,35,ON,20-20,AmericanBollworm-Egg
66,35,37,93,86,17,OFF,DAP,Aphid
8,32,60,5,38,9,ON,14-35-14,Aphid
52,24,31,80,3,97,OFF,20-20,AmericanBollworm-Egg
44,8,59,33,65,45,OFF,DAP,Spodoptera
12,9,29,68,30,20,ON,20-20,Jassid
67,12,44,22,62,80,OFF,10-26-26,Spodoptera
32,26,49,7,28,68,ON,20-20,Aphid
67,28,22,94,84,94,OFF,17-17-17,Aphid
43,9,49,42,18,46,OFF,20-20,AmericanBollworm-Egg
46,44,36,54,74,1,ON,17-17-17,Spodoptera
8,42,67,70,25,35,ON,14-35-14,PinkBollworm-Larva
19,30,35,3,2,52,ON,DAP,Jassid
28,5,39,93,98,23,ON,17-17-17,Jassid
77,36,66,95,74,21,ON,17-17-17,PinkBollworm-Larva
46,5,64,83,74,59,OFF,DAP,AmericanBollworm-Larva
72,14,52,64,57,52,OFF,DAP,Spodoptera
18,22,25,80,89,94,OFF,DAP,AmericanBollworm-Larva
53,18,64,80,14,66,ON,14-35-14,AmericanBollworm-Larva
31,45,25,70,13,79,OFF,17-17-17,Jassid
43,21,54,31,69,98,OFF,10-26-26,Spodoptera
56,44,63,29,90,26,ON,17-17-17,Mealybug
5,9,48,34,98,8,OFF,DAP,PinkBollworm-Larva
6,5,62,1,72,13,ON,17-17-17,AmericanBollworm-Egg
89,4,22,26,79,99,OFF,10-26-26,AmericanBollworm-Larva
67,44,70,42,68,21,OFF,17-17-17,Jassid
76,33,30,18,89,71,ON,28-28,Mealybug
3,21,43,67,19,5,ON,14-35-14,AmericanBollworm-Larva
55,5,24,28,84,52,ON,DAP,Jassid
73,37,39,66,44,64,ON,Urea,AmericanBollworm-Larva
80,26,44,86,9,66,OFF,10-26-26,Spodoptera
63,39,40,43,12,82,OFF,DAP,AmericanBollworm-Larva
17,33,53,27,92,33,ON,17-17-17,Jassid
45,41,44,1,23,14,ON,28-28,Spodoptera
21,11,40,63,26,21,ON,17-17-17,PinkBollworm-Larva
60,36,43,23,85,84,ON,28-28,PinkBollworm-Larva
11,5,25,31,88,94,OFF,14-35-14,AmericanBollworm-Egg
69,36,29,80,13,45,ON,28-28,AmericanBollworm-Egg
36,37,44,62,5,82,ON,Urea,Jassid
52,20,42,87,71,34,OFF,Urea,AmericanBollworm-Larva
81,25,25,94,49,37,ON,10-26-26,Jassid
62,39,36,88,20,15,ON,10-26-26,PinkBollworm-Larva
21,37,27,55,35,44,ON,28-28,Spodoptera
60,39,57,24,52,24,OFF,20-20,Jassid
18,15,28,68,20,9,ON,17-17-17,Aphid
45,43,43,12,71,32,ON,DAP,AmericanBollworm-Larva
27,10,43,31,49,18,OFF,20-20,AmericanBollworm-Larva
57,15,32,62,19,93,ON,28-28,PinkBollworm-Larva
13,8,37,26,55,55,OFF,17-17-17,AmericanBollworm-Egg
53,28,23,93,61,98,ON,17-17-17,Spodoptera
38,8,64,80,32,50,ON,DAP,Aphid
85,37,66,80,7,73,ON,17-17-17,Mealybug
79,42,61,24,53,68,OFF,14-35-14,AmericanBollworm-Egg
66,35,38,90,15,26,OFF,10-26-26,PinkBollworm-Larva
7,42,33,74,86,31,ON,DAP,Jassid
9,19,70,5,30,54,OFF,14-35-14,AmericanBollworm-Egg
3,9,51,81,83,64,OFF,DAP,Spodoptera
58,45,69,33,29,86,OFF,DAP,Mealybug
49,35,42,79,58,62,ON,14-35-14,Mealybug
53,35,21,34,92,21,ON,10-26-26,PinkBollworm-Larva
8,22,22,92,9,43,OFF,20-20,Jassid
73,24,21,1,83,53,ON,14-35-14,Jassid
74,16,41,56,40,6,OFF,DAP,Aphid
4,33,61,16,65,86,OFF,20-20,AmericanBollworm-Larva
26,42,64,95,14,40,ON,20-20,PinkBollworm-Larva
2,8,44,9,81,27,OFF,20-20,AmericanBollworm-Egg
22,8,29,30,75,4,OFF,14-35-14,Spodoptera
25,34,62,75,44,40,ON,14-35-14,Aphid
83,41,62,75,61,94,OFF,28-28,Aphid
76,23,33,58,35,36,ON,10-26-26,Aphid
58,13,50,26,46,64,OFF,DAP,Mealybug
73,16,36,9,70,33,ON,Urea,Spodoptera
74,32,52,99,0,57,OFF,10-26-26,Spodoptera
45,17,47,94,41,10,ON,10-26-26,Jassid
11,35,55,43,79,79,ON,28-28,Aphid
14,10,67,50,70,70,ON,10-26-26,Jassid
37,16,50,62,68,59,OFF,17-17-17,PinkBollworm-Larva
90,33,49,37,51,44,ON,20-20,AmericanBollworm-Egg
34,17,37,0,31,63,OFF,10-26-26,Spodoptera
85,28,60,44,90,51,OFF,14-35-14,Mealybug
46,16,52,82,52,78,OFF,28-28,AmericanBollworm-Egg
64,16,68,40,96,93,OFF,14-35-14,PinkBollworm-Larva
